benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
458.sjeng,256kB,256kB,4MB,2,2,2,64,1609,8392126,8366632,1.9374
458.sjeng,256kB,256kB,4MB,2,2,2,128,904,4247782,4220841,1.4731
458.sjeng,256kB,256kB,4MB,2,2,4,32,2930,16684585,16660351,2.8663
458.sjeng,256kB,256kB,4MB,2,2,4,64,1609,8392126,8365573,1.9373
458.sjeng,256kB,256kB,4MB,2,2,4,128,904,4247782,4219875,1.473
458.sjeng,256kB,256kB,4MB,2,2,8,32,2930,16684585,16660242,2.8663
458.sjeng,256kB,256kB,4MB,2,2,8,64,1609,8392126,8364994,1.9372
458.sjeng,256kB,256kB,4MB,2,2,8,128,904,4247782,4219408,1.4729
458.sjeng,256kB,256kB,4MB,2,4,1,32,2930,16684585,16662329,2.8665
458.sjeng,256kB,256kB,4MB,2,4,1,64,1609,8392126,8368194,1.9375
458.sjeng,256kB,256kB,4MB,2,4,1,128,903,4247782,4222345,1.4732
458.sjeng,256kB,256kB,4MB,2,4,2,32,2930,16684585,16660963,2.8663
458.sjeng,256kB,256kB,4MB,2,4,2,64,1609,8392126,8366631,1.9374
458.sjeng,256kB,256kB,4MB,2,4,2,128,903,4247782,4220839,1.4731
458.sjeng,256kB,256kB,4MB,2,4,4,32,2930,16684585,16660351,2.8663
458.sjeng,256kB,256kB,4MB,2,4,4,64,1609,8392126,8365572,1.9373
458.sjeng,256kB,256kB,4MB,2,4,4,128,903,4247782,4219874,1.473
458.sjeng,256kB,256kB,4MB,2,4,8,32,2930,16684585,16660241,2.8663
458.sjeng,256kB,256kB,4MB,2,4,8,64,1609,8392126,8364993,1.9372
458.sjeng,256kB,256kB,4MB,2,4,8,128,903,4247782,4219406,1.4729
458.sjeng,256kB,256kB,4MB,2,8,1,32,2930,16684585,16662329,2.8665
458.sjeng,256kB,256kB,4MB,2,8,1,64,1609,8392126,8368193,1.9375
458.sjeng,256kB,256kB,4MB,2,8,1,128,903,4247782,4222344,1.4732
458.sjeng,256kB,256kB,4MB,2,8,2,32,2930,16684585,16660963,2.8663
458.sjeng,256kB,256kB,4MB,2,8,2,64,1609,8392126,8366631,1.9374
458.sjeng,256kB,256kB,4MB,2,8,2,128,903,4247782,4220839,1.4731
458.sjeng,256kB,256kB,4MB,2,8,4,32,2930,16684585,16660351,2.8663
458.sjeng,256kB,256kB,4MB,2,8,4,64,1609,8392126,8365572,1.9373
458.sjeng,256kB,256kB,4MB,2,8,4,128,903,4247782,4219874,1.473
458.sjeng,256kB,256kB,4MB,2,8,8,32,2930,16684585,16660241,2.8663
