benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
456.hmmer,256kB,32kB,1MB,2,2,4,32,7674,18918,13482,1.0017
456.hmmer,256kB,32kB,1MB,2,2,4,64,4711,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,2,4,128,5277,7323,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,2,8,32,7674,18918,13482,1.0017
456.hmmer,256kB,32kB,1MB,2,2,8,64,4711,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,2,8,128,5277,7323,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,4,1,32,2467,18918,13496,1.0016
456.hmmer,256kB,32kB,1MB,2,4,1,64,1473,10770,7076,1.0009
456.hmmer,256kB,32kB,1MB,2,4,1,128,960,7326,3736,1.0005
456.hmmer,256kB,32kB,1MB,2,4,2,32,2467,18918,13482,1.0016
456.hmmer,256kB,32kB,1MB,2,4,2,64,1473,10770,7060,1.0009
456.hmmer,256kB,32kB,1MB,2,4,2,128,960,7327,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,4,4,32,2467,18918,13482,1.0016
456.hmmer,256kB,32kB,1MB,2,4,4,64,1473,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,4,4,128,960,7327,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,4,8,32,2467,18918,13482,1.0016
456.hmmer,256kB,32kB,1MB,2,4,8,64,1473,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,4,8,128,960,7327,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,8,1,32,2427,18918,13496,1.0016
456.hmmer,256kB,32kB,1MB,2,8,1,64,1443,10770,7076,1.0009
456.hmmer,256kB,32kB,1MB,2,8,1,128,907,7326,3736,1.0005
456.hmmer,256kB,32kB,1MB,2,8,2,32,2427,18918,13482,1.0016
456.hmmer,256kB,32kB,1MB,2,8,2,64,1443,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,8,2,128,907,7326,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,8,4,32,2427,18918,13482,1.0016
456.hmmer,256kB,32kB,1MB,2,8,4,64,1443,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,8,4,128,907,7326,3726,1.0005
456.hmmer,256kB,32kB,1MB,2,8,8,32,2427,18918,13482,1.0016
456.hmmer,256kB,32kB,1MB,2,8,8,64,1443,10770,7059,1.0009
456.hmmer,256kB,32kB,1MB,2,8,8,128,907,7326,3726,1.0005
456.hmmer,256kB,32kB,1MB,4,1,1,32,30100,16403,13508,1.0019
456.hmmer,256kB,32kB,1MB,4,1,1,64,22055,8695,7082,1.0011
456.hmmer,256kB,32kB,1MB,4,1,1,128,17835,5017,3739,1.0006
456.hmmer,256kB,32kB,1MB,4,1,2,32,30100,16403,13482,1.0019
456.hmmer,256kB,32kB,1MB,4,1,2,64,22055,8695,7060,1.0011
456.hmmer,256kB,32kB,1MB,4,1,2,128,17835,5017,3727,1.0006
456.hmmer,256kB,32kB,1MB,4,1,4,32,30100,16403,13482,1.0019
456.hmmer,256kB,32kB,1MB,4,1,4,64,22055,8695,7059,1.0011
456.hmmer,256kB,32kB,1MB,4,1,4,128,17835,5017,3726,1.0006
456.hmmer,256kB,32kB,1MB,4,1,8,32,30100,16403,13482,1.0019
456.hmmer,256kB,32kB,1MB,4,1,8,64,22055,8695,7059,1.0011
456.hmmer,256kB,32kB,1MB,4,1,8,128,17835,5017,3726,1.0006
456.hmmer,256kB,32kB,1MB,4,2,1,32,7674,16403,13499,1.0016
456.hmmer,256kB,32kB,1MB,4,2,1,64,4711,8695,7075,1.0009
456.hmmer,256kB,32kB,1MB,4,2,1,128,5277,5020,3734,1.0005
456.hmmer,256kB,32kB,1MB,4,2,2,32,7674,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,2,2,64,4711,8695,7060,1.0009
456.hmmer,256kB,32kB,1MB,4,2,2,128,5277,5020,3726,1.0005
456.hmmer,256kB,32kB,1MB,4,2,4,32,7674,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,2,4,64,4711,8695,7059,1.0009
456.hmmer,256kB,32kB,1MB,4,2,4,128,5277,5020,3726,1.0005
456.hmmer,256kB,32kB,1MB,4,2,8,32,7674,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,2,8,64,4711,8695,7059,1.0009
456.hmmer,256kB,32kB,1MB,4,2,8,128,5277,5020,3726,1.0005
456.hmmer,256kB,32kB,1MB,4,4,1,32,2467,16403,13493,1.0016
456.hmmer,256kB,32kB,1MB,4,4,1,64,1473,8695,7071,1.0008
456.hmmer,256kB,32kB,1MB,4,4,1,128,960,5022,3732,1.0004
456.hmmer,256kB,32kB,1MB,4,4,2,32,2467,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,4,2,64,1473,8695,7060,1.0008
456.hmmer,256kB,32kB,1MB,4,4,2,128,960,5022,3726,1.0004
456.hmmer,256kB,32kB,1MB,4,4,4,32,2467,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,4,4,64,1473,8695,7059,1.0008
456.hmmer,256kB,32kB,1MB,4,4,4,128,960,5022,3726,1.0004
456.hmmer,256kB,32kB,1MB,4,4,8,32,2467,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,4,8,64,1473,8695,7059,1.0008
456.hmmer,256kB,32kB,1MB,4,4,8,128,960,5022,3726,1.0004
456.hmmer,256kB,32kB,1MB,4,8,1,32,2427,16403,13493,1.0016
456.hmmer,256kB,32kB,1MB,4,8,1,64,1443,8695,7070,1.0008
456.hmmer,256kB,32kB,1MB,4,8,1,128,907,5018,3730,1.0004
456.hmmer,256kB,32kB,1MB,4,8,2,32,2427,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,8,2,64,1443,8695,7059,1.0008
456.hmmer,256kB,32kB,1MB,4,8,2,128,907,5018,3726,1.0004
456.hmmer,256kB,32kB,1MB,4,8,4,32,2427,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,8,4,64,1443,8695,7059,1.0008
456.hmmer,256kB,32kB,1MB,4,8,4,128,907,5018,3726,1.0004
456.hmmer,256kB,32kB,1MB,4,8,8,32,2427,16403,13482,1.0016
456.hmmer,256kB,32kB,1MB,4,8,8,64,1443,8695,7059,1.0008
456.hmmer,256kB,32kB,1MB,4,8,8,128,907,5018,3726,1.0004
456.hmmer,256kB,32kB,1MB,8,1,1,32,30100,13924,13506,1.0019
456.hmmer,256kB,32kB,1MB,8,1,1,64,22055,7227,7080,1.0011
456.hmmer,256kB,32kB,1MB,8,1,1,128,17835,4141,3740,1.0006
456.hmmer,256kB,32kB,1MB,8,1,2,32,30100,13924,13482,1.0019
456.hmmer,256kB,32kB,1MB,8,1,2,64,22055,7227,7060,1.0011
456.hmmer,256kB,32kB,1MB,8,1,2,128,17835,4141,3727,1.0006
456.hmmer,256kB,32kB,1MB,8,1,4,32,30100,13924,13482,1.0019
456.hmmer,256kB,32kB,1MB,8,1,4,64,22055,7227,7059,1.0011
456.hmmer,256kB,32kB,1MB,8,1,4,128,17835,4141,3726,1.0006
456.hmmer,256kB,32kB,1MB,8,1,8,32,30100,13924,13482,1.0019
456.hmmer,256kB,32kB,1MB,8,1,8,64,22055,7227,7059,1.0011
456.hmmer,256kB,32kB,1MB,8,1,8,128,17835,4141,3726,1.0006
456.hmmer,256kB,32kB,1MB,8,2,1,32,7674,13924,13494,1.0016
456.hmmer,256kB,32kB,1MB,8,2,1,64,4711,7227,7071,1.0009
456.hmmer,256kB,32kB,1MB,8,2,1,128,5277,4144,3733,1.0005
456.hmmer,256kB,32kB,1MB,8,2,2,32,7674,13924,13482,1.0016
456.hmmer,256kB,32kB,1MB,8,2,2,64,4711,7227,7060,1.0008
456.hmmer,256kB,32kB,1MB,8,2,2,128,5277,4144,3726,1.0005
456.hmmer,256kB,32kB,1MB,8,2,4,32,7674,13924,13482,1.0016
456.hmmer,256kB,32kB,1MB,8,2,4,64,4711,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,2,4,128,5277,4144,3726,1.0005
456.hmmer,256kB,32kB,1MB,8,2,8,32,7674,13924,13482,1.0016
456.hmmer,256kB,32kB,1MB,8,2,8,64,4711,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,2,8,128,5277,4144,3726,1.0005
456.hmmer,256kB,32kB,1MB,8,4,1,32,2467,13924,13488,1.0015
456.hmmer,256kB,32kB,1MB,8,4,1,64,1473,7227,7067,1.0008
456.hmmer,256kB,32kB,1MB,8,4,1,128,960,4146,3731,1.0004
456.hmmer,256kB,32kB,1MB,8,4,2,32,2467,13924,13482,1.0015
456.hmmer,256kB,32kB,1MB,8,4,2,64,1473,7227,7060,1.0008
456.hmmer,256kB,32kB,1MB,8,4,2,128,960,4146,3726,1.0004
456.hmmer,256kB,32kB,1MB,8,4,4,32,2467,13924,13482,1.0015
456.hmmer,256kB,32kB,1MB,8,4,4,64,1473,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,4,4,128,960,4146,3726,1.0004
456.hmmer,256kB,32kB,1MB,8,4,8,32,2467,13924,13482,1.0015
456.hmmer,256kB,32kB,1MB,8,4,8,64,1473,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,4,8,128,960,4146,3726,1.0004
456.hmmer,256kB,32kB,1MB,8,8,1,32,2427,13924,13488,1.0015
456.hmmer,256kB,32kB,1MB,8,8,1,64,1443,7227,7066,1.0008
456.hmmer,256kB,32kB,1MB,8,8,1,128,907,4142,3728,1.0004
456.hmmer,256kB,32kB,1MB,8,8,2,32,2427,13924,13482,1.0015
456.hmmer,256kB,32kB,1MB,8,8,2,64,1443,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,8,2,128,907,4142,3726,1.0004
456.hmmer,256kB,32kB,1MB,8,8,4,32,2427,13924,13482,1.0015
456.hmmer,256kB,32kB,1MB,8,8,4,64,1443,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,8,4,128,907,4142,3726,1.0004
456.hmmer,256kB,32kB,1MB,8,8,8,32,2427,13924,13482,1.0015
456.hmmer,256kB,32kB,1MB,8,8,8,64,1443,7227,7059,1.0008
456.hmmer,256kB,32kB,1MB,8,8,8,128,907,4142,3726,1.0004
