benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
401.bzip2,256kB,128kB,4MB,2,2,2,64,957,3518939,2173473,1.2596
401.bzip2,256kB,128kB,4MB,2,2,2,128,539,2455947,1216858,1.1512
401.bzip2,256kB,128kB,4MB,2,2,4,32,1735,5700915,4087278,1.4772
401.bzip2,256kB,128kB,4MB,2,2,4,64,957,3518939,2173747,1.2596
401.bzip2,256kB,128kB,4MB,2,2,4,128,539,2455251,1216988,1.1512
401.bzip2,256kB,128kB,4MB,2,2,8,32,1735,5700915,4088180,1.4772
401.bzip2,256kB,128kB,4MB,2,2,8,64,957,3518939,2174815,1.2597
401.bzip2,256kB,128kB,4MB,2,2,8,128,539,2455595,1217533,1.1512
401.bzip2,256kB,128kB,4MB,2,4,1,32,1735,5700915,4086402,1.4771
401.bzip2,256kB,128kB,4MB,2,4,1,64,957,3518939,2173059,1.2595
401.bzip2,256kB,128kB,4MB,2,4,1,128,539,2455677,1216446,1.1511
401.bzip2,256kB,128kB,4MB,2,4,2,32,1735,5700915,4086854,1.4771
401.bzip2,256kB,128kB,4MB,2,4,2,64,957,3518939,2173465,1.2596
401.bzip2,256kB,128kB,4MB,2,4,2,128,539,2455947,1216854,1.1512
401.bzip2,256kB,128kB,4MB,2,4,4,32,1735,5700915,4087257,1.4772
401.bzip2,256kB,128kB,4MB,2,4,4,64,957,3518939,2173737,1.2596
401.bzip2,256kB,128kB,4MB,2,4,4,128,539,2455251,1216982,1.1512
401.bzip2,256kB,128kB,4MB,2,4,8,32,1735,5700915,4088180,1.4772
401.bzip2,256kB,128kB,4MB,2,4,8,64,957,3518939,2174815,1.2597
401.bzip2,256kB,128kB,4MB,2,4,8,128,539,2455595,1217533,1.1512
401.bzip2,256kB,128kB,4MB,2,8,1,32,1735,5700915,4086395,1.4771
401.bzip2,256kB,128kB,4MB,2,8,1,64,957,3518939,2173053,1.2595
401.bzip2,256kB,128kB,4MB,2,8,1,128,539,2455677,1216441,1.1511
401.bzip2,256kB,128kB,4MB,2,8,2,32,1735,5700915,4086852,1.4771
401.bzip2,256kB,128kB,4MB,2,8,2,64,957,3518939,2173463,1.2596
401.bzip2,256kB,128kB,4MB,2,8,2,128,539,2455947,1216852,1.1512
401.bzip2,256kB,128kB,4MB,2,8,4,32,1735,5700915,4087255,1.4772
401.bzip2,256kB,128kB,4MB,2,8,4,64,957,3518939,2173735,1.2596
401.bzip2,256kB,128kB,4MB,2,8,4,128,539,2455251,1216980,1.1512
401.bzip2,256kB,128kB,4MB,2,8,8,32,1735,5700915,4088180,1.4772
401.bzip2,256kB,128kB,4MB,2,8,8,64,957,3518939,2174815,1.2597
401.bzip2,256kB,128kB,4MB,2,8,8,128,539,2455595,1217533,1.1512
401.bzip2,256kB,128kB,4MB,4,1,1,32,1781,5686259,4086539,1.4769
401.bzip2,256kB,128kB,4MB,4,1,1,64,988,3498235,2173143,1.2593
401.bzip2,256kB,128kB,4MB,4,1,1,128,569,2426263,1216499,1.1508
401.bzip2,256kB,128kB,4MB,4,1,2,32,1781,5686259,4086930,1.4769
401.bzip2,256kB,128kB,4MB,4,1,2,64,988,3498235,2173516,1.2593
