benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
429.mcf,256kB,32kB,4MB,2,2,2,128,1143,7260023,2264805,1.3136
429.mcf,256kB,32kB,4MB,2,2,4,32,1990,11977432,8179588,1.9617
429.mcf,256kB,32kB,4MB,2,2,4,64,1527,8458078,4407171,1.5422
429.mcf,256kB,32kB,4MB,2,2,4,128,1143,7260023,2206694,1.3078
429.mcf,256kB,32kB,4MB,2,2,8,32,1990,11977432,8203032,1.9641
429.mcf,256kB,32kB,4MB,2,2,8,64,1527,8458078,4419947,1.5435
429.mcf,256kB,32kB,4MB,2,2,8,128,1143,7260023,2210480,1.3082
429.mcf,256kB,32kB,4MB,2,4,1,32,1160,11977432,7659537,1.9097
429.mcf,256kB,32kB,4MB,2,4,1,64,694,8458078,4419174,1.5434
429.mcf,256kB,32kB,4MB,2,4,1,128,441,7260023,2343740,1.3215
429.mcf,256kB,32kB,4MB,2,4,2,32,1160,11977432,8107370,1.9545
429.mcf,256kB,32kB,4MB,2,4,2,64,694,8458078,4464891,1.548
429.mcf,256kB,32kB,4MB,2,4,2,128,441,7260023,2264779,1.3136
429.mcf,256kB,32kB,4MB,2,4,4,32,1160,11977432,8179558,1.9617
429.mcf,256kB,32kB,4MB,2,4,4,64,694,8458078,4407156,1.5422
429.mcf,256kB,32kB,4MB,2,4,4,128,441,7260023,2206679,1.3078
429.mcf,256kB,32kB,4MB,2,4,8,32,1160,11977432,8202998,1.964
429.mcf,256kB,32kB,4MB,2,4,8,64,694,8458078,4419935,1.5435
429.mcf,256kB,32kB,4MB,2,4,8,128,441,7260023,2210469,1.3082
429.mcf,256kB,32kB,4MB,2,8,1,32,1160,11977432,7659548,1.9097
429.mcf,256kB,32kB,4MB,2,8,1,64,693,8458078,4419178,1.5434
429.mcf,256kB,32kB,4MB,2,8,1,128,441,7260023,2343741,1.3215
429.mcf,256kB,32kB,4MB,2,8,2,32,1160,11977432,8107392,1.9545
429.mcf,256kB,32kB,4MB,2,8,2,64,693,8458078,4464904,1.548
429.mcf,256kB,32kB,4MB,2,8,2,128,441,7260023,2264782,1.3136
429.mcf,256kB,32kB,4MB,2,8,4,32,1160,11977432,8179574,1.9617
429.mcf,256kB,32kB,4MB,2,8,4,64,693,8458078,4407171,1.5422
429.mcf,256kB,32kB,4MB,2,8,4,128,441,7260023,2206682,1.3078
429.mcf,256kB,32kB,4MB,2,8,8,32,1160,11977432,8203006,1.964
429.mcf,256kB,32kB,4MB,2,8,8,64,693,8458078,4419945,1.5435
429.mcf,256kB,32kB,4MB,2,8,8,128,441,7260023,2210469,1.3082
429.mcf,256kB,32kB,4MB,4,1,1,32,576160,11544027,7657598,1.9112
429.mcf,256kB,32kB,4MB,4,1,1,64,511919,7949883,4417906,1.5433
429.mcf,256kB,32kB,4MB,4,1,1,128,464130,6432417,2327587,1.3155
429.mcf,256kB,32kB,4MB,4,1,2,32,576160,11544027,8107709,1.9562
429.mcf,256kB,32kB,4MB,4,1,2,64,511919,7949883,4465098,1.5481
429.mcf,256kB,32kB,4MB,4,1,2,128,464130,6432417,2264713,1.3092
429.mcf,256kB,32kB,4MB,4,1,4,32,576160,11544027,8179760,1.9634
429.mcf,256kB,32kB,4MB,4,1,4,64,511919,7949883,4407181,1.5423
429.mcf,256kB,32kB,4MB,4,1,4,128,464130,6432417,2206705,1.3034
429.mcf,256kB,32kB,4MB,4,1,8,32,576160,11544027,8203206,1.9658
429.mcf,256kB,32kB,4MB,4,1,8,64,511919,7949883,4419929,1.5435
429.mcf,256kB,32kB,4MB,4,1,8,128,464130,6432417,2210489,1.3038
429.mcf,256kB,32kB,4MB,4,2,1,32,1990,11544027,7657591,1.9043
429.mcf,256kB,32kB,4MB,4,2,1,64,1527,7949883,4417896,1.5372
429.mcf,256kB,32kB,4MB,4,2,1,128,1143,6432417,2327583,1.31
429.mcf,256kB,32kB,4MB,4,2,2,32,1990,11544027,8107704,1.9493
429.mcf,256kB,32kB,4MB,4,2,2,64,1527,7949883,4465089,1.5419
429.mcf,256kB,32kB,4MB,4,2,2,128,1143,6432417,2264705,1.3037
429.mcf,256kB,32kB,4MB,4,2,4,32,1990,11544027,8179742,1.9565
429.mcf,256kB,32kB,4MB,4,2,4,64,1527,7949883,4407177,1.5361
429.mcf,256kB,32kB,4MB,4,2,4,128,1143,6432417,2206700,1.2979
429.mcf,256kB,32kB,4MB,4,2,8,32,1990,11544027,8203196,1.9589
429.mcf,256kB,32kB,4MB,4,2,8,64,1527,7949883,4419924,1.5374
429.mcf,256kB,32kB,4MB,4,2,8,128,1143,6432417,2210486,1.2983
429.mcf,256kB,32kB,4MB,4,4,1,32,1160,11544027,7657553,1.9043
429.mcf,256kB,32kB,4MB,4,4,1,64,694,7949883,4417878,1.5372
429.mcf,256kB,32kB,4MB,4,4,1,128,441,6432417,2327560,1.31
429.mcf,256kB,32kB,4MB,4,4,2,32,1160,11544027,8107670,1.9493
429.mcf,256kB,32kB,4MB,4,4,2,64,694,7949883,4465066,1.5419
429.mcf,256kB,32kB,4MB,4,4,2,128,441,6432417,2264679,1.3037
429.mcf,256kB,32kB,4MB,4,4,4,32,1160,11544027,8179712,1.9565
429.mcf,256kB,32kB,4MB,4,4,4,64,694,7949883,4407162,1.5361
429.mcf,256kB,32kB,4MB,4,4,4,128,441,6432417,2206685,1.2979
429.mcf,256kB,32kB,4MB,4,4,8,32,1160,11544027,8203164,1.9589
429.mcf,256kB,32kB,4MB,4,4,8,64,694,7949883,4419911,1.5374
429.mcf,256kB,32kB,4MB,4,4,8,128,441,6432417,2210475,1.2982
429.mcf,256kB,32kB,4MB,4,8,1,32,1160,11544027,7657563,1.9043
429.mcf,256kB,32kB,4MB,4,8,1,64,693,7949883,4417882,1.5372
429.mcf,256kB,32kB,4MB,4,8,1,128,441,6432417,2327561,1.31
429.mcf,256kB,32kB,4MB,4,8,2,32,1160,11544027,8107690,1.9493
429.mcf,256kB,32kB,4MB,4,8,2,64,693,7949883,4465078,1.5419
429.mcf,256kB,32kB,4MB,4,8,2,128,441,6432417,2264682,1.3037
429.mcf,256kB,32kB,4MB,4,8,4,32,1160,11544027,8179727,1.9565
429.mcf,256kB,32kB,4MB,4,8,4,64,693,7949883,4407177,1.5361
429.mcf,256kB,32kB,4MB,4,8,4,128,441,6432417,2206687,1.2979
429.mcf,256kB,32kB,4MB,4,8,8,32,1160,11544027,8203170,1.9589
429.mcf,256kB,32kB,4MB,4,8,8,64,693,7949883,4419922,1.5374
429.mcf,256kB,32kB,4MB,4,8,8,128,441,6432417,2210475,1.2982
429.mcf,256kB,32kB,4MB,8,1,1,32,576160,11558008,7630907,1.9087
429.mcf,256kB,32kB,4MB,8,1,1,64,511919,7907790,4401812,1.5412
429.mcf,256kB,32kB,4MB,8,1,1,128,464130,6011543,2309336,1.3086
429.mcf,256kB,32kB,4MB,8,1,2,32,576160,11558008,8107386,1.9563
429.mcf,256kB,32kB,4MB,8,1,2,64,511919,7907790,4464975,1.5475
429.mcf,256kB,32kB,4MB,8,1,2,128,464130,6011543,2264205,1.3041
429.mcf,256kB,32kB,4MB,8,1,4,32,576160,11558008,8179955,1.9636
429.mcf,256kB,32kB,4MB,8,1,4,64,511919,7907790,4407166,1.5418
429.mcf,256kB,32kB,4MB,8,1,4,128,464130,6011543,2206655,1.2984
429.mcf,256kB,32kB,4MB,8,1,8,32,576160,11558008,8203375,1.9659
429.mcf,256kB,32kB,4MB,8,1,8,64,511919,7907790,4419963,1.543
429.mcf,256kB,32kB,4MB,8,1,8,128,464130,6011543,2210457,1.2988
429.mcf,256kB,32kB,4MB,8,2,1,32,1990,11558008,7630900,1.9018
429.mcf,256kB,32kB,4MB,8,2,1,64,1527,7907790,4401802,1.5351
429.mcf,256kB,32kB,4MB,8,2,1,128,1143,6011543,2309332,1.3031
429.mcf,256kB,32kB,4MB,8,2,2,32,1990,11558008,8107381,1.9495
429.mcf,256kB,32kB,4MB,8,2,2,64,1527,7907790,4464966,1.5414
429.mcf,256kB,32kB,4MB,8,2,2,128,1143,6011543,2264197,1.2986
429.mcf,256kB,32kB,4MB,8,2,4,32,1990,11558008,8179937,1.9567
429.mcf,256kB,32kB,4MB,8,2,4,64,1527,7907790,4407162,1.5356
429.mcf,256kB,32kB,4MB,8,2,4,128,1143,6011543,2206650,1.2928
429.mcf,256kB,32kB,4MB,8,2,8,32,1990,11558008,8203365,1.9591
429.mcf,256kB,32kB,4MB,8,2,8,64,1527,7907790,4419958,1.5369
429.mcf,256kB,32kB,4MB,8,2,8,128,1143,6011543,2210454,1.2932
429.mcf,256kB,32kB,4MB,8,4,1,32,1160,11558008,7630865,1.9018
429.mcf,256kB,32kB,4MB,8,4,1,64,694,7907790,4401784,1.5351
429.mcf,256kB,32kB,4MB,8,4,1,128,441,6011543,2309309,1.3031
429.mcf,256kB,32kB,4MB,8,4,2,32,1160,11558008,8107350,1.9494
429.mcf,256kB,32kB,4MB,8,4,2,64,694,7907790,4464943,1.5414
429.mcf,256kB,32kB,4MB,8,4,2,128,441,6011543,2264171,1.2986
429.mcf,256kB,32kB,4MB,8,4,4,32,1160,11558008,8179909,1.9567
429.mcf,256kB,32kB,4MB,8,4,4,64,694,7907790,4407147,1.5356
429.mcf,256kB,32kB,4MB,8,4,4,128,441,6011543,2206635,1.2928
429.mcf,256kB,32kB,4MB,8,4,8,32,1160,11558008,8203332,1.959
429.mcf,256kB,32kB,4MB,8,4,8,64,694,7907790,4419945,1.5369
429.mcf,256kB,32kB,4MB,8,4,8,128,441,6011543,2210443,1.2932
429.mcf,256kB,32kB,4MB,8,8,1,32,1160,11558008,7630873,1.9018
429.mcf,256kB,32kB,4MB,8,8,1,64,693,7907790,4401787,1.5351
