benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
429.mcf,256kB,64kB,4MB,2,2,1,64,686,8458078,4419139,1.5434
429.mcf,256kB,128kB,1MB,2,2,1,64,684,8458078,6444487,1.746
429.mcf,256kB,128kB,2MB,2,2,1,64,684,8458078,5622539,1.6638
429.mcf,256kB,128kB,4MB,2,2,1,64,684,8458078,4419107,1.5434
429.mcf,256kB,256kB,1MB,2,2,1,64,684,8458078,6444485,1.746
429.mcf,256kB,256kB,2MB,2,2,1,64,684,8458078,5622537,1.6638
429.mcf,256kB,256kB,4MB,2,2,1,64,684,8458078,4419105,1.5434
456.hmmer,64kB,32kB,1MB,2,2,1,64,4711,407158,7909,1.0057
456.hmmer,64kB,32kB,2MB,2,2,1,64,4711,407158,7059,1.0056
456.hmmer,64kB,32kB,4MB,2,2,1,64,4711,407158,7059,1.0056
456.hmmer,64kB,64kB,1MB,2,2,1,64,4585,407158,7887,1.0057
456.hmmer,64kB,64kB,2MB,2,2,1,64,4585,407158,7059,1.0056
456.hmmer,64kB,64kB,4MB,2,2,1,64,4585,407158,7059,1.0056
456.hmmer,64kB,128kB,1MB,2,2,1,64,1355,407158,7069,1.0056
456.hmmer,64kB,128kB,2MB,2,2,1,64,1355,407158,7059,1.0056
456.hmmer,64kB,128kB,4MB,2,2,1,64,1355,407158,7059,1.0056
456.hmmer,64kB,256kB,1MB,2,2,1,64,1345,407158,7068,1.0056
456.hmmer,64kB,256kB,2MB,2,2,1,64,1345,407158,7059,1.0056
456.hmmer,64kB,256kB,4MB,2,2,1,64,1345,407158,7059,1.0056
456.hmmer,128kB,32kB,1MB,2,2,1,64,4711,152052,7618,1.0026
456.hmmer,128kB,32kB,2MB,2,2,1,64,4711,152052,7059,1.0026
456.hmmer,128kB,32kB,4MB,2,2,1,64,4711,152052,7059,1.0026
456.hmmer,128kB,64kB,1MB,2,2,1,64,4585,152052,7599,1.0026
456.hmmer,128kB,64kB,2MB,2,2,1,64,4585,152052,7059,1.0026
456.hmmer,128kB,64kB,4MB,2,2,1,64,4585,152052,7059,1.0026
456.hmmer,128kB,128kB,1MB,2,2,1,64,1355,152052,7064,1.0025
456.hmmer,128kB,128kB,2MB,2,2,1,64,1355,152052,7059,1.0025
456.hmmer,128kB,128kB,4MB,2,2,1,64,1355,152052,7059,1.0025
456.hmmer,128kB,256kB,1MB,2,2,1,64,1345,152052,7064,1.0025
456.hmmer,128kB,256kB,2MB,2,2,1,64,1345,152052,7059,1.0025
456.hmmer,128kB,256kB,4MB,2,2,1,64,1345,152052,7059,1.0025
456.hmmer,256kB,32kB,1MB,2,2,1,64,4711,10770,7079,1.0009
456.hmmer,256kB,32kB,2MB,2,2,1,64,4711,10770,7059,1.0009
456.hmmer,256kB,32kB,4MB,2,2,1,64,4711,10770,7059,1.0009
456.hmmer,256kB,64kB,1MB,2,2,1,64,4585,10770,7066,1.0009
456.hmmer,256kB,64kB,2MB,2,2,1,64,4585,10770,7059,1.0009
456.hmmer,256kB,64kB,4MB,2,2,1,64,4585,10770,7059,1.0009
456.hmmer,256kB,128kB,1MB,2,2,1,64,1355,10770,7060,1.0009
456.hmmer,256kB,128kB,2MB,2,2,1,64,1355,10770,7059,1.0009
456.hmmer,256kB,128kB,4MB,2,2,1,64,1355,10770,7059,1.0009
456.hmmer,256kB,256kB,1MB,2,2,1,64,1345,10770,7060,1.0009
456.hmmer,256kB,256kB,2MB,2,2,1,64,1345,10770,7059,1.0009
456.hmmer,256kB,256kB,4MB,2,2,1,64,1345,10770,7059,1.0009
458.sjeng,64kB,32kB,1MB,2,2,1,64,2159649,8573441,8394120,1.9682
458.sjeng,64kB,32kB,2MB,2,2,1,64,2159649,8573441,8381867,1.967
458.sjeng,64kB,32kB,4MB,2,2,1,64,2159649,8573441,8370161,1.9658
458.sjeng,64kB,64kB,1MB,2,2,1,64,461143,8573441,8388860,1.9473
458.sjeng,64kB,64kB,2MB,2,2,1,64,461143,8573441,8380576,1.9465
458.sjeng,64kB,64kB,4MB,2,2,1,64,461143,8573441,8369495,1.9454
458.sjeng,64kB,128kB,1MB,2,2,1,64,2779,8573441,8386095,1.9415
458.sjeng,64kB,128kB,2MB,2,2,1,64,2779,8573441,8379932,1.9409
458.sjeng,64kB,128kB,4MB,2,2,1,64,2779,8573441,8369127,1.9398
458.sjeng,64kB,256kB,1MB,2,2,1,64,1609,8573441,8385973,1.9415
458.sjeng,64kB,256kB,2MB,2,2,1,64,1609,8573441,8379882,1.9409
458.sjeng,64kB,256kB,4MB,2,2,1,64,1609,8573441,8369084,1.9398
458.sjeng,128kB,32kB,1MB,2,2,1,64,2159649,8421920,8385594,1.9655
458.sjeng,128kB,32kB,2MB,2,2,1,64,2159649,8421920,8377305,1.9647
458.sjeng,128kB,32kB,4MB,2,2,1,64,2159649,8421920,8369700,1.9639
458.sjeng,128kB,64kB,1MB,2,2,1,64,461143,8421920,8382231,1.9448
458.sjeng,128kB,64kB,2MB,2,2,1,64,461143,8421920,8375976,1.9442
458.sjeng,128kB,64kB,4MB,2,2,1,64,461143,8421920,8369028,1.9435
458.sjeng,128kB,128kB,1MB,2,2,1,64,2779,8421920,8380566,1.9392
458.sjeng,128kB,128kB,2MB,2,2,1,64,2779,8421920,8375318,1.9386
458.sjeng,128kB,128kB,4MB,2,2,1,64,2779,8421920,8368660,1.938
458.sjeng,128kB,256kB,1MB,2,2,1,64,1609,8421920,8380477,1.9391
458.sjeng,128kB,256kB,2MB,2,2,1,64,1609,8421920,8375269,1.9386
458.sjeng,128kB,256kB,4MB,2,2,1,64,1609,8421920,8368617,1.9379
458.sjeng,256kB,32kB,1MB,2,2,1,64,2159649,8392126,8382588,1.9649
458.sjeng,256kB,32kB,2MB,2,2,1,64,2159649,8392126,8376057,1.9642
458.sjeng,256kB,32kB,4MB,2,2,1,64,2159649,8392126,8369292,1.9636
458.sjeng,256kB,64kB,1MB,2,2,1,64,461143,8392126,8379891,1.9442
458.sjeng,256kB,64kB,2MB,2,2,1,64,461143,8392126,8374767,1.9437
458.sjeng,256kB,64kB,4MB,2,2,1,64,461143,8392126,8368625,1.9431
458.sjeng,256kB,128kB,1MB,2,2,1,64,2779,8392126,8378493,1.9386
458.sjeng,256kB,128kB,2MB,2,2,1,64,2779,8392126,8374092,1.9381
458.sjeng,256kB,128kB,4MB,2,2,1,64,2779,8392126,8368242,1.9376
458.sjeng,256kB,256kB,1MB,2,2,1,64,1609,8392126,8378411,1.9386
458.sjeng,256kB,256kB,2MB,2,2,1,64,1609,8392126,8374043,1.9381
458.sjeng,256kB,256kB,4MB,2,2,1,64,1609,8392126,8368198,1.9375
470.lbm,64kB,32kB,1MB,2,2,1,64,575,7163210,7152402,1.8012
470.lbm,64kB,32kB,2MB,2,2,1,64,575,7163210,7150048,1.801
470.lbm,64kB,32kB,4MB,2,2,1,64,575,7163210,7149042,1.8009
470.lbm,64kB,64kB,1MB,2,2,1,64,562,7163210,7152400,1.8012
470.lbm,64kB,64kB,2MB,2,2,1,64,562,7163210,7150046,1.801
470.lbm,64kB,64kB,4MB,2,2,1,64,562,7163210,7149040,1.8009
470.lbm,64kB,128kB,1MB,2,2,1,64,552,7163210,7152400,1.8012
470.lbm,64kB,128kB,2MB,2,2,1,64,552,7163210,7150046,1.801
470.lbm,64kB,128kB,4MB,2,2,1,64,552,7163210,7149040,1.8009
470.lbm,64kB,256kB,1MB,2,2,1,64,552,7163210,7152400,1.8012
470.lbm,64kB,256kB,2MB,2,2,1,64,552,7163210,7150046,1.801
470.lbm,64kB,256kB,4MB,2,2,1,64,552,7163210,7149040,1.8009
470.lbm,128kB,32kB,1MB,2,2,1,64,575,7161895,7153186,1.8013
470.lbm,128kB,32kB,2MB,2,2,1,64,575,7161895,7150434,1.801
470.lbm,128kB,32kB,4MB,2,2,1,64,575,7161895,7149272,1.8009
470.lbm,128kB,64kB,1MB,2,2,1,64,562,7161895,7153184,1.8013
470.lbm,128kB,64kB,2MB,2,2,1,64,562,7161895,7150432,1.801
470.lbm,128kB,64kB,4MB,2,2,1,64,562,7161895,7149270,1.8009
470.lbm,128kB,128kB,1MB,2,2,1,64,552,7161895,7153184,1.8013
470.lbm,128kB,128kB,2MB,2,2,1,64,552,7161895,7150432,1.801
470.lbm,128kB,128kB,4MB,2,2,1,64,552,7161895,7149270,1.8009
470.lbm,128kB,256kB,1MB,2,2,1,64,552,7161895,7153184,1.8013
470.lbm,128kB,256kB,2MB,2,2,1,64,552,7161895,7150432,1.801
470.lbm,128kB,256kB,4MB,2,2,1,64,552,7161895,7149270,1.8009
470.lbm,256kB,32kB,1MB,2,2,1,64,575,7156845,7153055,1.8012
470.lbm,256kB,32kB,2MB,2,2,1,64,575,7156845,7150510,1.8009
470.lbm,256kB,32kB,4MB,2,2,1,64,575,7156845,7149350,1.8008
470.lbm,256kB,64kB,1MB,2,2,1,64,562,7156845,7153053,1.8012
470.lbm,256kB,64kB,2MB,2,2,1,64,562,7156845,7150508,1.8009
470.lbm,256kB,64kB,4MB,2,2,1,64,562,7156845,7149348,1.8008
470.lbm,256kB,128kB,1MB,2,2,1,64,552,7156845,7153053,1.8012
470.lbm,256kB,128kB,2MB,2,2,1,64,552,7156845,7150508,1.8009
470.lbm,256kB,128kB,4MB,2,2,1,64,552,7156845,7149348,1.8008
470.lbm,256kB,256kB,1MB,2,2,1,64,552,7156845,7153053,1.8012
470.lbm,256kB,256kB,2MB,2,2,1,64,552,7156845,7150508,1.8009
470.lbm,256kB,256kB,4MB,2,2,1,64,552,7156845,7149348,1.8008
