benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
470.lbm,256kB,32kB,4MB,2,2,4,64,575,7156845,7147889,1.8007
470.lbm,256kB,32kB,4MB,2,2,4,128,378,3804366,3797541,1.4254
470.lbm,256kB,32kB,4MB,2,2,8,32,912,13854795,13848501,2.5511
470.lbm,256kB,32kB,4MB,2,2,8,64,575,7156845,7147889,1.8007
470.lbm,256kB,32kB,4MB,2,2,8,128,378,3804366,3797541,1.4254
470.lbm,256kB,32kB,4MB,2,4,1,32,899,13854795,13849741,2.5512
470.lbm,256kB,32kB,4MB,2,4,1,64,565,7156845,7149350,1.8008
470.lbm,256kB,32kB,4MB,2,4,1,128,367,3804366,3798881,1.4255
470.lbm,256kB,32kB,4MB,2,4,2,32,899,13854795,13848583,2.5511
470.lbm,256kB,32kB,4MB,2,4,2,64,565,7156845,7148029,1.8007
470.lbm,256kB,32kB,4MB,2,4,2,128,367,3804366,3797550,1.4254
470.lbm,256kB,32kB,4MB,2,4,4,32,899,13854795,13848509,2.5511
470.lbm,256kB,32kB,4MB,2,4,4,64,565,7156845,7147889,1.8007
470.lbm,256kB,32kB,4MB,2,4,4,128,367,3804366,3797540,1.4254
470.lbm,256kB,32kB,4MB,2,4,8,32,899,13854795,13848498,2.5511
470.lbm,256kB,32kB,4MB,2,4,8,64,565,7156845,7147889,1.8007
470.lbm,256kB,32kB,4MB,2,4,8,128,367,3804366,3797540,1.4254
470.lbm,256kB,32kB,4MB,2,8,1,32,893,13854795,13849741,2.5512
470.lbm,256kB,32kB,4MB,2,8,1,64,561,7156845,7149349,1.8008
470.lbm,256kB,32kB,4MB,2,8,1,128,365,3804366,3798881,1.4255
470.lbm,256kB,32kB,4MB,2,8,2,32,893,13854795,13848583,2.5511
470.lbm,256kB,32kB,4MB,2,8,2,64,561,7156845,7148028,1.8007
470.lbm,256kB,32kB,4MB,2,8,2,128,365,3804366,3797550,1.4254
470.lbm,256kB,32kB,4MB,2,8,4,32,893,13854795,13848509,2.5511
470.lbm,256kB,32kB,4MB,2,8,4,64,561,7156845,7147888,1.8007
470.lbm,256kB,32kB,4MB,2,8,4,128,365,3804366,3797540,1.4254
470.lbm,256kB,32kB,4MB,2,8,8,32,893,13854795,13848498,2.5511
470.lbm,256kB,32kB,4MB,2,8,8,64,561,7156845,7147888,1.8007
470.lbm,256kB,32kB,4MB,2,8,8,128,365,3804366,3797540,1.4254
470.lbm,256kB,32kB,4MB,4,1,1,32,957,13849177,13849167,2.5511
470.lbm,256kB,32kB,4MB,4,1,1,64,607,7155762,7149230,1.8008
470.lbm,256kB,32kB,4MB,4,1,1,128,401,3804400,3798869,1.4255
470.lbm,256kB,32kB,4MB,4,1,2,32,957,13849177,13848854,2.5511
470.lbm,256kB,32kB,4MB,4,1,2,64,607,7155762,7148063,1.8007
470.lbm,256kB,32kB,4MB,4,1,2,128,401,3804400,3797551,1.4254
470.lbm,256kB,32kB,4MB,4,1,4,32,957,13849177,13848761,2.5511
470.lbm,256kB,32kB,4MB,4,1,4,64,607,7155762,7147893,1.8007
470.lbm,256kB,32kB,4MB,4,1,4,128,401,3804400,3797542,1.4254
470.lbm,256kB,32kB,4MB,4,1,8,32,957,13849177,13848737,2.5511
470.lbm,256kB,32kB,4MB,4,1,8,64,607,7155762,7147892,1.8007
470.lbm,256kB,32kB,4MB,4,1,8,128,401,3804400,3797542,1.4254
470.lbm,256kB,32kB,4MB,4,2,1,32,912,13849177,13849164,2.5511
470.lbm,256kB,32kB,4MB,4,2,1,64,575,7155762,7149227,1.8008
470.lbm,256kB,32kB,4MB,4,2,1,128,378,3804400,3798868,1.4255
470.lbm,256kB,32kB,4MB,4,2,2,32,912,13849177,13848851,2.5511
470.lbm,256kB,32kB,4MB,4,2,2,64,575,7155762,7148060,1.8007
470.lbm,256kB,32kB,4MB,4,2,2,128,378,3804400,3797550,1.4254
470.lbm,256kB,32kB,4MB,4,2,4,32,912,13849177,13848758,2.5511
470.lbm,256kB,32kB,4MB,4,2,4,64,575,7155762,7147890,1.8007
470.lbm,256kB,32kB,4MB,4,2,4,128,378,3804400,3797541,1.4254
470.lbm,256kB,32kB,4MB,4,2,8,32,912,13849177,13848734,2.5511
470.lbm,256kB,32kB,4MB,4,2,8,64,575,7155762,7147889,1.8007
470.lbm,256kB,32kB,4MB,4,2,8,128,378,3804400,3797541,1.4254
470.lbm,256kB,32kB,4MB,4,4,1,32,899,13849177,13849161,2.5511
470.lbm,256kB,32kB,4MB,4,4,1,64,565,7155762,7149227,1.8008
470.lbm,256kB,32kB,4MB,4,4,1,128,367,3804400,3798867,1.4255
470.lbm,256kB,32kB,4MB,4,4,2,32,899,13849177,13848848,2.5511
470.lbm,256kB,32kB,4MB,4,4,2,64,565,7155762,7148060,1.8007
470.lbm,256kB,32kB,4MB,4,4,2,128,367,3804400,3797549,1.4254
470.lbm,256kB,32kB,4MB,4,4,4,32,899,13849177,13848755,2.5511
470.lbm,256kB,32kB,4MB,4,4,4,64,565,7155762,7147890,1.8007
470.lbm,256kB,32kB,4MB,4,4,4,128,367,3804400,3797540,1.4254
470.lbm,256kB,32kB,4MB,4,4,8,32,899,13849177,13848731,2.5511
470.lbm,256kB,32kB,4MB,4,4,8,64,565,7155762,7147889,1.8007
470.lbm,256kB,32kB,4MB,4,4,8,128,367,3804400,3797540,1.4254
470.lbm,256kB,32kB,4MB,4,8,1,32,893,13849177,13849161,2.5511
470.lbm,256kB,32kB,4MB,4,8,1,64,561,7155762,7149226,1.8008
470.lbm,256kB,32kB,4MB,4,8,1,128,365,3804400,3798867,1.4255
470.lbm,256kB,32kB,4MB,4,8,2,32,893,13849177,13848848,2.5511
470.lbm,256kB,32kB,4MB,4,8,2,64,561,7155762,7148059,1.8007
470.lbm,256kB,32kB,4MB,4,8,2,128,365,3804400,3797549,1.4254
470.lbm,256kB,32kB,4MB,4,8,4,32,893,13849177,13848755,2.5511
470.lbm,256kB,32kB,4MB,4,8,4,64,561,7155762,7147889,1.8007
470.lbm,256kB,32kB,4MB,4,8,4,128,365,3804400,3797540,1.4254
470.lbm,256kB,32kB,4MB,4,8,8,32,893,13849177,13848731,2.5511
470.lbm,256kB,32kB,4MB,4,8,8,64,561,7155762,7147888,1.8007
470.lbm,256kB,32kB,4MB,4,8,8,128,365,3804400,3797540,1.4254
470.lbm,256kB,32kB,4MB,8,1,1,32,957,13847715,13848561,2.551
470.lbm,256kB,32kB,4MB,8,1,1,64,607,7154643,7149164,1.8008
470.lbm,256kB,32kB,4MB,8,1,1,128,401,3804428,3798859,1.4255
470.lbm,256kB,32kB,4MB,8,1,2,32,957,13847715,13848541,2.551
470.lbm,256kB,32kB,4MB,8,1,2,64,607,7154643,7148103,1.8007
470.lbm,256kB,32kB,4MB,8,1,2,128,401,3804428,3797547,1.4254
470.lbm,256kB,32kB,4MB,8,1,4,32,957,13847715,13848541,2.551
